REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected,Houses_damaged,Houses_destroyed
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,2,35,163,996,13,150
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,214,1164,143,71
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,1,2,76,499,2,13
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,15,29,74,682,0,74
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,33,10,72,692,0,72
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,16,15,74,528,44,34
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,106,954,0,106
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,3,110,805,10,100
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,94,1392,0,94
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,3,89,785,9,80
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,94,1001,51,43
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,23,53,45,298,5,40
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,5,43,300,0,43
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,5,27,273,7,20
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,5,54,383,50,4
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,13,151,909,121,30
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,0,171,1288,161,10
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,6,61,419,0,61
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,2,77,592,77,0
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,0,173,281,0,173
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,8,150,913,120,30
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,5,99,573,90,9
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,0,41,285,0,41
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,22,79,437,79,0
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,5,42,288,0,42
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,11,155,1039,104,57
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,3,62,429,0,62
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,5,77,520,50,27
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,8,137,960,0,137
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,9,360,2804,200,160
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,3,96,669,56,40
